trial_id	Total	Bio conservation	Batch correction	Modality integration	shared_dim	private_dim	batch_embed_dim	beta_shared	lam_iso	lam_align	beta_private_rna	beta_private_atac	isolated_labels	nmi_ari_cluster_labels_kmeans_nmi	nmi_ari_cluster_labels_kmeans_ari	silhouette_label	clisi_knn	silhouette_batch_b	ilisi_knn_b	kbet_per_label_b	pcr_comparison_b	silhouette_batch_m	ilisi_knn_m	kbet_per_label_m	graph_connectivity	pcr_comparison_m
16	0.6491642569946643	0.7485254535255791	0.40909712481002836	0.7567497938047475	48	4	8	1.5	2.0	0.02	1.0	1.0	0.6613414287567139	0.780599193603927	0.6290172266541387	0.6716694384813309	0.999999980131785	0.897986650466919	0.4221078157424927	0.31629403303070186	0.0	0.8298566341400146	0.6594011783599854	0.38380324635587	0.9229479387174547	0.9877399714504125
34	0.6455871850201669	0.7337069094264235	0.41246091097518306	0.7612204931901418	32	16	8	1.25	2.0	0.1	1.0	0.5	0.6846800446510315	0.7441199760737899	0.5819428572372342	0.6577916890382767	0.999999980131785	0.9111687541007996	0.4113774299621582	0.3272974598377744	0.0	0.8699767589569092	0.5933369398117065	0.4017204775822707	0.951094948554781	0.9899733410450422
22	0.6434873154170743	0.7441772685939628	0.4032601459687464	0.7494612139628841	24	4	4	1.5	2.0	0.1	1.0	1.0	0.6709367036819458	0.7604560643869821	0.611458186510663	0.6780354082584381	0.999999980131785	0.9049040079116821	0.409351110458374	0.29878546550492946	0.0	0.8543157577514648	0.5973577499389648	0.39595601750049586	0.9092257055504083	0.9904508390730866
28	0.6409190682755822	0.7184775298549485	0.4077066325179864	0.7707202219273562	48	16	4	1.0	0.5	0.07	0.5	1.0	0.6595017910003662	0.7420628619591221	0.5607198304105734	0.6301031857728958	0.999999980131785	0.912869393825531	0.4043079614639282	0.3136491747824864	0.0	0.8787371516227722	0.6277670860290527	0.42040454243947367	0.9356697173794332	0.9910226121660496
31	0.6390502999806205	0.7311884305139725	0.4037623174210346	0.7514874418290702	48	4	4	1.0	0.5	0.1	0.5	0.5	0.6634742021560669	0.7544419424394313	0.5908929158888441	0.6471331119537354	0.999999980131785	0.9208739399909973	0.392409086227417	0.30176624346572406	0.0	0.8791599869728088	0.5450344085693359	0.39384023531021156	0.9509501014076611	0.9884524768853336
4	0.6389330082691247	0.7130197731672074	0.40969925489695336	0.7693844084438525	24	16	4	1.25	0.5	0.03	0.5	0.5	0.6462661027908325	0.7053768778582648	0.5495613510759173	0.6638945639133453	0.9999999701976776	0.8913599252700806	0.4389415979385376	0.3084954963791954	0.0	0.8116453886032104	0.687299370765686	0.43185327634507276	0.9256952949553201	0.9904287115499727
1	0.6331054469629476	0.7255361815453611	0.41231619603349234	0.7306537184491846	24	16	8	1.5	1.0	0.07	1.0	1.0	0.6677672266960144	0.7393146255054462	0.5351798437403464	0.6854192316532135	0.999999980131785	0.8987799882888794	0.4370473623275757	0.3134374335175142	0.0	0.8553880453109741	0.5828666687011719	0.3115745320777617	0.9129199667968122	0.990519379359203
25	0.6309210587786873	0.7192267265529164	0.40130221758948836	0.7427990096022473	24	8	4	1.0	2.0	0.1	0.5	1.0	0.6643441319465637	0.7182930415206089	0.550901475322317	0.6625950038433075	0.999999980131785	0.9111902713775635	0.3976161479949951	0.29640245098539486	0.0	0.8553584814071655	0.590256929397583	0.32891931329318697	0.9520997625964097	0.9873605613168913
7	0.6303595338039496	0.7272641401506398	0.403236458376551	0.7282764674357616	32	16	8	1.25	2.0	0.07	1.0	0.5	0.6461268067359924	0.745868330962945	0.580148935060678	0.6641766577959061	0.9999999701976776	0.8971387147903442	0.4168800115585327	0.29892710715732684	0.0	0.801587700843811	0.6309161186218262	0.33017082126410346	0.8888615918993145	0.9898461045497529
10	0.6228262670827209	0.7118183279249733	0.39153902317128736	0.7354574298711516	48	8	4	1.0	2.0	0.05	1.0	0.5	0.6346938610076904	0.7188168517212878	0.5655350456245264	0.6400459110736847	0.9999999701976776	0.8996769785881042	0.3907891511917114	0.27568996290533376	0.0	0.8063231110572815	0.6014319658279419	0.35552818755199184	0.923331577989939	0.9906723069286038
19	0.6219738365870471	0.7054169037736747	0.43077082494165225	0.7019194253169385	48	8	4	1.5	1.0	0.1	0.5	0.5	0.6416491270065308	0.7204023070657589	0.5217746174794563	0.6432584971189499	0.9999999701976776	0.9178778529167175	0.420979380607605	0.306189467919659	0.07803659832262737	0.8071964979171753	0.5412490367889404	0.2983498195705364	0.8728486252582145	0.9899531470498258
13	0.6216589919187216	0.7059105102854365	0.38664268973860394	0.744339936276553	48	16	4	1.0	2.0	0.03	1.0	0.5	0.6385974884033203	0.7166495686286262	0.5368219174616933	0.6374835968017578	0.999999980131785	0.907332718372345	0.3885594606399536	0.2506785799421172	0.0	0.8448350429534912	0.5995523929595947	0.37370374301096665	0.9137290358522561	0.9898794666064565
